invoice_no,sale_date,sale_time,customer_id,drug_code,product_name,batch_no,storage_location,quantity,unit,unit_price,total_amount,gross_profit,วันสำคัญ,holiday,อุณหภูมิ,ปริมาณน้ำฝน
BL201229-015,2020-12-29,14:35,C01-0000,G0091,gaviscon  ชมพู ซอง,P201215-0057,F2,1.0,ซอง,30.0,30,8.0,,False,24.4,0.0
BL201229-022,2020-12-29,16:40,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,,False,24.4,0.0
BL201229-024,2020-12-29,17:02,C01-0000,D0190,Dimetapp syrup,P201124-0037,B1,1.0,ขวด,60.0,60,15.0,,False,24.4,0.0
BL201229-025,2020-12-29,17:07,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,2.0,แผง,20.0,40,30.4,,False,24.4,0.0
BL201229-028,2020-12-29,17:22,C01-0000,D0179,DIORA 28'S,P201215-0075,F2,2.0,แผง,70.0,140,68.0,,False,24.4,0.0
BL201229-030,2020-12-29,17:53,C01-0000,D0167,DexOph 4 ml.,P201201-0013,F2,1.0,ขวด,40.0,40,20.42,,False,24.4,0.0
BL201229-035,2020-12-29,18:17,C01-0000,B0106,bronpect-D 10x10t,P201203-0001,F2,1.0,แผง,35.0,35,35.0,,False,24.4,0.0
BL201229-037,2020-12-29,18:48,C01-0000,R0078,Rhinalax 250 mg syrup 60 ml,P201118-0070,F2,1.0,ขวด,60.0,60,36.0,,False,24.4,0.0
BL201229-039,2020-12-29,19:02,C01-0000,D0174,DIFELENE  50 MG 10'S,P201222-0022,F2,3.0,แผง,35.0,105,57.0,,False,24.4,0.0
BL201229-041,2020-12-29,19:20,C01-0000,E0055,Extorant tablets,P190813-0001,B1,1.0,แผง,35.0,35,27.0,,False,24.4,0.0
BL201229-045,2020-12-29,19:42,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P201124-0023,B1,1.0,แผง,10.0,10,3.24,,False,24.4,0.0
BL201228-001,2020-12-28,8:34,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-008,2020-12-28,9:15,C01-0000,C0142,CETRIzin แผง,P201201-0005,F2,1.0,แผง,20.0,20,13.6,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-012,2020-12-28,9:34,C01-0000,G0066,GANO 500 MG 10'S,P201118-0013,F2,1.0,แผง,50.0,50,10.83,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-015,2020-12-28,9:41,C01-0000,A0178,Ampicillin 500 mg,P200218-0035,F5,1.0,แผง,40.0,40,23.2,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-015,2020-12-28,9:41,C01-0000,E0061,Erfuzide 60 ml,P200707-0044,B5,1.0,ขวด,85.0,85,52.0,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-023,2020-12-28,11:13,C01-0000,T0181,Terbutaline Tablets 2.5mg. แผง ขยายหลอดลมT.O,P200114-0054,F5,1.0,แผง,45.0,45,42.8,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-023,2020-12-28,11:13,C01-0000,T0181,Terbutaline Tablets 2.5mg. แผง ขยายหลอดลมT.O,P200114-0054,F5,1.0,แผง,45.0,45,42.8,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-024,2020-12-28,11:20,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-030,2020-12-28,11:45,C01-0000,O0047,One-Trex syrup 60 ml,P201027-0042,F5,1.0,ขวด,40.0,40,22.0,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-033,2020-12-28,12:34,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-039,2020-12-28,14:41,C01-0000,M0217,Minra  60 ml ส้ม,P201222-0049,B1,1.0,ขวด,50.0,50,22.0,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-040,2020-12-28,15:06,C01-0000,B0072,BENDA น้ำ 12X30 CC,P200908-0049,B1,1.0,ขวด,40.0,40,20.5,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-045,2020-12-28,16:06,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-048,2020-12-28,16:17,C01-0000,M0203,Mysoven granules 600 mg,P201208-0043,F2,2.0,ซอง,15.0,30,12.07,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-049,2020-12-28,16:34,C01-0000,M0203,Mysoven granules 600 mg,P201208-0043,F2,9.0,ซอง,15.0,135,54.3,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-050,2020-12-28,16:45,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-050,2020-12-28,16:45,C01-0000,A0158,ยาคุม ANNA 28 เม็ด,P201110-0017,F2,1.0,แผง,35.0,35,10.8,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-053,2020-12-28,16:57,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-053,2020-12-28,16:57,C01-0000,A0158,ยาคุม ANNA 28 เม็ด,P201110-0017,F2,1.0,แผง,35.0,35,10.8,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-065,2020-12-28,18:43,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-069,2020-12-28,18:59,C01-0000,D0179,DIORA 28'S,P201027-0013,F5,1.0,แผง,70.0,70,34.0,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-070,2020-12-28,19:20,C01-0000,H0038,HEXIN พยาธิ,P201118-0039,F2,1.0,แผง,30.0,30,12.0,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-075,2020-12-28,19:56,C01-0000,C0142,CETRIzin แผง,P201201-0005,F2,2.0,แผง,20.0,40,27.2,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201228-079,2020-12-28,20:52,C01-0000,B0140,BETAMETHASONE-N GPO 15 G,P201208-0022,F2,2.0,หลอด,65.0,130,58.0,วันสมเด็จพระเจ้าตากสินมหาราช,True,24.4,0.0
BL201227-004,2020-12-27,8:23,C01-0000,B0106,bronpect-D 10x10t,P201203-0001,F2,1.0,แผง,35.0,35,35.0,,False,24.4,0.0
BL201227-006,2020-12-27,9:01,C01-0000,C0142,CETRIzin แผง,P201201-0005,F2,1.0,แผง,20.0,20,13.6,,False,24.4,0.0
BL201227-009,2020-12-27,9:31,C01-0000,D0167,DexOph 4 ml.,P201201-0013,F2,1.0,ขวด,40.0,40,20.42,,False,24.4,0.0
BL201227-011,2020-12-27,9:44,C01-0000,B0074,BERCLOMINE Syrup 60 cc. แก้ปวดท้องเด็ก,P200804-0027,F2,1.0,ขวด,50.0,50,28.0,,False,24.4,0.0
BL201227-016,2020-12-27,11:17,C01-0000,G0091,gaviscon  ชมพู ซอง,P201215-0057,F2,4.0,ซอง,30.0,120,32.0,,False,24.4,0.0
BL201227-016,2020-12-27,11:17,C01-0000,G0074,Gaviscon ซอง,P201013-0017,F2,4.0,ซอง,25.0,100,18.8,,False,24.4,0.0
BL201227-022,2020-12-27,12:21,C01-0000,M0217,Minra  60 ml ส้ม,P201222-0049,B1,1.0,ขวด,50.0,50,22.0,,False,24.4,0.0
BL201227-024,2020-12-27,12:50,C01-0000,D0179,DIORA 28'S,P201027-0013,F5,1.0,แผง,70.0,70,34.0,,False,24.4,0.0
BL201227-026,2020-12-27,12:54,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,,False,24.4,0.0
BL201227-037,2020-12-27,13:58,C01-0000,A0158,ยาคุม ANNA 28 เม็ด,P201110-0017,F2,1.0,แผง,35.0,35,10.8,,False,24.4,0.0
BL201227-044,2020-12-27,15:12,C01-0000,D0104,Dicloxacillin-Nida,P200922-0006,B1,2.0,แผง,60.0,120,84.0,,False,24.4,0.0
BL201227-047,2020-12-27,15:35,C01-0000,B0106,bronpect-D 10x10t,P201203-0001,F2,1.0,แผง,35.0,35,35.0,,False,24.4,0.0
BL201227-049,2020-12-27,15:59,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,,False,24.4,0.0
BL201227-051,2020-12-27,16:02,C01-0000,G0091,gaviscon  ชมพู ซอง,P201215-0057,F2,1.0,ซอง,30.0,30,8.0,,False,24.4,0.0
BL201227-051,2020-12-27,16:02,C01-0000,G0074,Gaviscon ซอง,P200630-0074,F2,1.0,ซอง,25.0,25,8.08,,False,24.4,0.0
BL201227-053,2020-12-27,16:25,C01-0000,B0102,BUSCOPAN 10'S,P201208-0045,F2,1.0,แผง,50.0,50,19.0,,False,24.4,0.0
BL201227-063,2020-12-27,17:22,C01-0000,I0108,Ibrofen 600 TO แผง,P201201-0023,F2,1.0,แผง,40.0,40,26.0,,False,24.4,0.0
BL201227-074,2020-12-27,18:26,C01-0000,B0134,BETAGEN CREAM 15 G,P201103-0044,F2,1.0,หลอด,80.0,80,32.75,,False,24.4,0.0
BL201227-074,2020-12-27,18:26,C01-0000,C0142,CETRIzin แผง,P201201-0005,F2,1.0,แผง,20.0,20,13.6,,False,24.4,0.0
BL201227-077,2020-12-27,18:48,C01-0000,C0185,CPM ขวด 100 เม็ด,P201124-0033,B1,1.0,กระปุก,20.0,20,14.0,,False,24.4,0.0
BL201227-079,2020-12-27,19:02,C01-0000,H0038,HEXIN พยาธิ,P201118-0039,F2,1.0,แผง,30.0,30,12.0,,False,24.4,0.0
BL201227-080,2020-12-27,19:04,C01-0000,I0108,Ibrofen 600 TO แผง,P201201-0023,F2,1.0,แผง,40.0,40,26.0,,False,24.4,0.0
BL201227-081,2020-12-27,19:12,C01-0000,A0159,Annylyn 21 tab,P201006-0029,B1,1.0,แผง,130.0,130,40.0,,False,24.4,0.0
BL201227-084,2020-12-27,19:27,C01-0000,C0196,Capirox-20,P201006-0052,B1,1.0,กล่อง,35.0,35,18.8,,False,24.4,0.0
BL201227-086,2020-12-27,19:36,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,,False,24.4,0.0
BL201227-087,2020-12-27,19:39,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P201124-0023,B1,2.0,แผง,10.0,20,6.48,,False,24.4,0.0
BL201227-087,2020-12-27,19:39,C01-0000,D0174,DIFELENE  50 MG 10'S,P201222-0022,F2,1.0,แผง,35.0,35,19.0,,False,24.4,0.0
BL201227-090,2020-12-27,19:42,C01-0000,O0045,Omeprazole GPO,P201208-0014,F2,1.0,แผง,40.0,40,32.5,,False,24.4,0.0
BL201227-091,2020-12-27,19:59,C01-0000,B0040,Bisolvon EX 60 cc,P201118-0063,F2,1.0,ขวด,65.0,65,19.0,,False,24.4,0.0
BL201227-092,2020-12-27,20:00,C01-0000,D0190,Dimetapp syrup,P201124-0037,B1,1.0,ขวด,60.0,60,15.0,,False,24.4,0.0
BL201226-006,2020-12-26,11:25,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201226-011,2020-12-26,13:10,C01-0000,B0080,BETAMETHASONE-N GPO 5 G,P201208-0023,F2,1.0,หลอด,40.0,40,25.0,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201226-018,2020-12-26,14:33,C01-0000,C0173,Cephadol,@PS-000595,B1,1.0,แผง,30.0,30,30.0,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201226-027,2020-12-26,17:22,C01-0000,B0071,BENDA 500,P201124-0040,B1,1.0,แผง,30.0,30,15.17,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201226-029,2020-12-26,17:47,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201226-034,2020-12-26,18:25,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P201124-0023,B1,2.0,แผง,10.0,20,6.48,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201226-035,2020-12-26,18:26,C01-0000,C0142,CETRIzin แผง,P201201-0005,F2,1.0,แผง,20.0,20,13.6,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201226-037,2020-12-26,18:53,C01-0000,C0142,CETRIzin แผง,P201201-0005,F2,1.0,แผง,20.0,20,13.6,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201226-040,2020-12-26,19:20,C01-0000,A0158,ยาคุม ANNA 28 เม็ด,P201110-0017,F2,1.0,แผง,35.0,35,10.8,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201226-041,2020-12-26,19:27,C01-0000,B0092,BISOLVON PEDIATRIC สตรอ 60 ML,P201110-0048,F2,1.0,ขวด,60.0,60,17.0,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201226-041,2020-12-26,19:27,C01-0000,D0218,Duran syrub 60 ml,P201124-0005,B1,1.0,ขวด,45.0,45,16.25,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201226-042,2020-12-26,19:35,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201226-044,2020-12-26,19:49,C01-0000,M0203,Mysoven granules 600 mg,P201208-0043,F2,2.0,ซอง,15.0,30,12.07,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201226-045,2020-12-26,19:58,C01-0000,E0055,Extorant tablets,P190813-0001,B1,1.0,แผง,35.0,35,27.0,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201226-047,2020-12-26,20:07,C01-0000,D0179,DIORA 28'S,P201027-0013,F5,1.0,แผง,70.0,70,34.0,วันคุ้มครองสัตว์ป่าแห่งชาติ,True,24.4,0.0
BL201225-003,2020-12-25,8:44,C01-0000,M0203,Mysoven granules 600 mg,P201208-0043,F2,3.0,ซอง,15.0,45,18.1,วันคริสต์มาส,True,24.4,0.0
BL201225-014,2020-12-25,11:16,C01-0000,D0218,Duran syrub 60 ml,P201124-0005,B1,1.0,ขวด,45.0,45,16.25,วันคริสต์มาส,True,24.4,0.0
BL201225-018,2020-12-25,11:42,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,2.0,แผง,20.0,40,30.4,วันคริสต์มาส,True,24.4,0.0
BL201225-019,2020-12-25,12:51,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P201124-0023,B1,2.0,แผง,10.0,20,6.48,วันคริสต์มาส,True,24.4,0.0
BL201225-026,2020-12-25,14:22,C01-0000,A0160,Annylyn 28 tab,P201208-0046,F2,1.0,แผง,130.0,130,40.0,วันคริสต์มาส,True,24.4,0.0
BL201225-028,2020-12-25,14:40,C01-0000,A0175,Amoksiklav 1000 mg,P201118-0028,F2,1.0,กล่อง,195.0,195,80.0,วันคริสต์มาส,True,24.4,0.0
BL201225-032,2020-12-25,15:35,C01-0000,B0135,Bufenac 50 mg,P201222-0012,F2,1.0,แผง,20.0,20,15.2,วันคริสต์มาส,True,24.4,0.0
BL201225-033,2020-12-25,15:46,C01-0000,C0142,CETRIzin แผง,P201201-0005,F2,1.0,แผง,20.0,20,13.6,วันคริสต์มาส,True,24.4,0.0
BL201225-035,2020-12-25,16:12,C01-0000,F0083,Ciprofex 500 mg,P201208-0033,F2,2.0,แผง,70.0,140,96.0,วันคริสต์มาส,True,24.4,0.0
BL201225-035,2020-12-25,16:12,C01-0000,M0203,Mysoven granules 600 mg,P201208-0043,F2,7.0,ซอง,15.0,105,42.23,วันคริสต์มาส,True,24.4,0.0
BL201225-036,2020-12-25,17:10,C01-0000,C0142,CETRIzin แผง,P201201-0005,F2,1.0,แผง,20.0,20,13.6,วันคริสต์มาส,True,24.4,0.0
BL201225-040,2020-12-25,17:56,C01-0000,D0104,Dicloxacillin-Nida,P200922-0006,B1,2.0,แผง,60.0,120,84.0,วันคริสต์มาส,True,24.4,0.0
BL201225-044,2020-12-25,18:21,C01-0000,A0160,Annylyn 28 tab,P201208-0046,F2,1.0,แผง,130.0,130,40.0,วันคริสต์มาส,True,24.4,0.0
BL201225-046,2020-12-25,18:26,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P201124-0023,B1,1.0,แผง,10.0,10,3.24,วันคริสต์มาส,True,24.4,0.0
BL201225-046,2020-12-25,18:26,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P201124-0023,B1,1.0,แผง,10.0,10,3.24,วันคริสต์มาส,True,24.4,0.0
BL201225-049,2020-12-25,18:55,C01-0000,A0178,Ampicillin 500 mg,P200526-0030,F2,2.0,แผง,40.0,80,46.4,วันคริสต์มาส,True,24.4,0.0
BL201225-052,2020-12-25,19:15,C01-0000,M0217,Minra  60 ml ส้ม,P201222-0049,B1,1.0,ขวด,50.0,50,22.0,วันคริสต์มาส,True,24.4,0.0
BL201225-052,2020-12-25,19:15,C01-0000,R0078,Rhinalax 250 mg syrup 60 ml,P201118-0070,F2,1.0,ขวด,60.0,60,36.0,วันคริสต์มาส,True,24.4,0.0
BL201225-053,2020-12-25,19:30,C01-0000,I0108,Ibrofen 600 TO แผง,P201201-0023,F2,1.0,แผง,40.0,40,26.0,วันคริสต์มาส,True,24.4,0.0
BL201225-055,2020-12-25,19:51,C01-0000,A0159,Annylyn 21 tab,P201006-0029,B1,1.0,แผง,130.0,130,40.0,วันคริสต์มาส,True,24.4,0.0
BL201225-056,2020-12-25,20:11,C01-0000,D0174,DIFELENE  50 MG 10'S,P201222-0022,F2,1.0,แผง,35.0,35,19.0,วันคริสต์มาส,True,24.4,0.0
BL201225-056,2020-12-25,20:11,C01-0000,A0158,ยาคุม ANNA 28 เม็ด,P201110-0017,F2,1.0,แผง,35.0,35,10.8,วันคริสต์มาส,True,24.4,0.0
BL201224-008,2020-12-24,10:05,C01-0000,C0142,CETRIzin แผง,P201201-0005,F2,1.0,แผง,20.0,20,13.6,,False,24.4,0.0
BL201224-011,2020-12-24,11:05,C01-0000,D0104,Dicloxacillin-Nida,P200922-0006,B1,2.0,แผง,60.0,120,84.0,,False,24.4,0.0
BL201224-011,2020-12-24,11:05,C01-0000,G0067,GARAMYCIN  5 GM เล็ก,P201201-0069,F2,1.0,หลอด,60.0,60,22.0,,False,24.4,0.0
BL201224-013,2020-12-24,11:47,C01-0000,D0174,DIFELENE  50 MG 10'S,P201208-0037,F2,1.0,แผง,35.0,35,19.0,,False,24.4,0.0
BL201224-013,2020-12-24,11:47,C01-0000,D0174,DIFELENE  50 MG 10'S,P201222-0022,F2,1.0,แผง,35.0,35,19.0,,False,24.4,0.0
